Codigo PAIS|Nombre PAIS|Codigo DEPARTAMENTO|Nombre DEPARTAMENTO|Codigo PROVINCIA|Nombre PROVINCIA|Codigo MUNICIPIO|Nombre MUNICIPIO|Codigo RECINTO|Nombre RECINTO|Codigo MESA|Nombre MESA|NO|SÍ|BLANCOS|EMITIDOS|INSCRITOS|NULOS|VALIDOS
BO|BOLIVIA|05|POTOSI|0501|TOMÁS FRÍAS|050101|POTOSÍ|1968819688|ESC. JOSE A.ZAMPA|50162|50162|156|16|2|178|218|4|172
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2258022580|COL. FE Y ALEGRIA|71797|71797|138|58|1|200|233|3|196
BO|BOLIVIA|01|CHUQUISACA|0101|OROPEZA|010101|SUCRE|0220902209|ESC. LA RECOLETA|10636|10636|138|54|1|202|232|9|192
BO|BOLIVIA|03|COCHABAMBA|0310|CHAPARE|031003|VILLA TUNARI|0642606426|COLEGIO NUEVA TACOPAYA|34507|34507|29|174|1|209|233|5|203
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2485224852|COL. HERMANOS CAVANIS|74069|74069|163|32|0|199|230|4|195
BO|BOLIVIA|06|TARIJA|0601|CERCADO|060101|TARIJA|2802028020|U.E. NARCISO CAMPERO|60074|60074|162|22|2|190|228|4|184
BO|BOLIVIA|02|LA PAZ|0208|INGAVÍ|020801|VIACHA|0906209062|COLEGIO BALLIVIAN|26509|26509|75|115|0|203|229|13|190
BO|BOLIVIA|01|CHUQUISACA|0101|OROPEZA|010101|SUCRE|0200702007|ESC. SAN JUANILLO|10434|10434|137|55|2|201|231|7|192
BO|BOLIVIA|05|POTOSI|0506|NOR CHICHAS|050601|COTAGAITA|1902619026|U.E. COTAGAITILLA|51341|51341|24|148|2|187|225|13|172
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2132021320|COL. VILLA BOLIVIA|70537|70537|135|48|0|189|225|6|183
BO|BOLIVIA|04|ORURO|0401|CERCADO|040101|ORURO|1646916469|COLEGIO JESUS MARIA FE Y ALEGRIA.-|40011|40011|161|40|1|205|230|3|201
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1475114751|INSTITUTO MENDEZ ARCOS|22040|22040|156|41|0|198|229|1|197
BO|BOLIVIA|05|POTOSI|0504|CHAYANTA|050403|POCOATA|1849818498|ESC. HUANCARANI|51154|51154|37|134|12|190|226|7|171
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0400904009|COLEGIO AMOR DE DIOS|30432|30432|118|75|1|198|234|4|193
BO|BOLIVIA|07|SANTA CRUZ|0710|OBISPO SANTISTEBAN|071001|MONTERO|2669426694|COL. MARCELIANO MONTERO|76435|76435|157|35|34|229|229|3|192
BO|BOLIVIA|04|ORURO|0401|CERCADO|040101|ORURO|1648816488|U. E. JOSE MARIA SIERRA GALVARRO.-|40030|40030|139|60|2|203|232|2|199
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1089910899|COL ROTARY CHUQUIAGO MARCA|23834|23834|82|117|2|207|231|6|199
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1128911289|COLEGIO 6 DE JUNIO|24224|24224|77|125|0|209|236|7|202
BO|BOLIVIA|04|ORURO|0401|CERCADO|040101|ORURO|1680616806|COL. PARTICULAR BOLIVIA JAPON-.|40348|40348|135|63|2|206|230|6|198
BO|BOLIVIA|05|POTOSI|0504|CHAYANTA|050402|RAVELO|1857518575|ESC. CHALLUMA|51135|51135|12|93|8|119|128|6|105
BO|BOLIVIA|04|ORURO|0402|ABAROA|040201|CHALLAPATA|1630316303|U.E. MONS. RICARDO BENI MORO|41052|41052|98|85|5|208|240|20|183
BO|BOLIVIA|07|SANTA CRUZ|0710|OBISPO SANTISTEBAN|071002|GENERAL AGUSTÍN SAAVEDRA|2650826508|ESC. U.E. GUALBERTO VILLARROEL|76685|76685|54|125|6|193|232|8|179
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0553605536|UNIDAD EDUCATIVA RENE BARRIENTOS ORTUÑO|31959|31959|61|125|1|196|237|9|186
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1103611036|COL. REPUBLICA DE ITALIA|23971|23971|59|134|1|214|231|20|193
BO|BOLIVIA|01|CHUQUISACA|0101|OROPEZA|010101|SUCRE|0170501705|COLEGIO SIMÓN RODRÍGUEZ|10132|10132|170|21|1|195|228|3|191
BO|BOLIVIA|08|BENI|0802|VACA DIÉZ|080202|PUERTO GUAYARAMERÍN|0081300813|ESC. SAN JOSE|80647|80647|109|64|1|176|227|2|173
BO|BOLIVIA|07|SANTA CRUZ|0703|VELASCO|070301|SAN IGNACIO (SAN IGNACIO DE VELASCO)|2727027270|U.E. JOSE CHAVEZ|75302|75302|41|33|0|75|76|1|74
BO|BOLIVIA|07|SANTA CRUZ|0711|ÑUFLO DE CHÁVEZ|071101|CONCEPCIÓN|2618126181|ESC. GUADALUPE FE Y ALEGRIA|76842|76842|75|117|1|195|233|2|192
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2197021970|COL.  ELFI RIVERA DE BARBERY|71187|71187|113|80|5|199|233|1|193
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2197621976|COL.  ELFI RIVERA DE BARBERY|71193|71193|105|77|0|190|222|8|182
BO|BOLIVIA|02|LA PAZ|0208|INGAVÍ|020801|VIACHA|0898308983|ESC. EVARISTO VALLE|26430|26430|91|111|1|207|220|4|202
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2279622796|COL. ALAN FARAH|72013|72013|130|60|0|192|234|2|190
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020105|EL ALTO|1070810708|UNIDAD EDUCATIVA JUAN CAPRILES|23643|23643|94|99|1|201|233|7|193
BO|BOLIVIA|01|CHUQUISACA|0101|OROPEZA|010101|SUCRE|0237102371|U.E. LAS AMERICAS|10798|10798|121|75|2|202|234|4|196
BO|BOLIVIA|05|POTOSI|0501|TOMÁS FRÍAS|050101|POTOSÍ|2009320093|UNIDAD EDUCATIVA JUAN PABLO II|50567|50567|165|32|2|203|235|4|197
BO|BOLIVIA|06|TARIJA|0603|GRAN CHACO|060301|YACUIBA|2896928969|U.E. MARISCAL SUCRE|61018|61018|112|79|3|197|238|3|191
